Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,No,Travel_Frequently,611,Research & Development,12,4,Human Resources,1,Female,46,3,4,Research Scientist,1,Single,19209,9,No,18,4,4,30,6,1,5,2,1,2
49,No,Travel_Rarely,833,Research & Development,7,3,Medical,3,Female,42,3,1,Laboratory Technician,2,Married,18599,4,No,17,3,4,8,3,2,8,2,7,6
56,Yes,Non-Travel,219,Sales,11,4,Human Resources,2,Male,69,2,3,Sales Representative,4,Divorced,19306,9,Yes,16,4,1,7,0,1,17,14,7,5
30,No,Travel_Rarely,335,Sales,3,2,Human Resources,2,Female,67,4,2,Manager,1,Married,7579,0,No,15,4,3,35,0,2,4,4,2,3
39,Yes,Travel_Rarely,479,Human Resources,16,4,Technical Degree,4,Female,87,4,2,Human Resources,1,Divorced,15698,7,No,18,4,1,8,4,1,4,1,1,3
46,Yes,Travel_Rarely,871,Research & Development,27,3,Human Resources,1,Female,79,1,5,Laboratory Technician,4,Divorced,3706,9,No,13,4,1,28,3,1,1,0,0,0
48,Yes,Non-Travel,761,Human Resources,7,2,Other,3,Female,95,3,5,Human Resources,1,Single,7229,0,Yes,19,4,1,4,2,1,1,0,1,1
46,No,Travel_Frequently,257,Human Resources,29,4,Technical Degree,2,Male,74,3,1,Human Resources,4,Single,14362,4,Yes,15,3,4,4,0,4,3,0,0,2
20,Yes,Travel_Frequently,868,Human Resources,23,3,Medical,3,Male,65,4,5,Human Resources,2,Single,3814,1,No,13,3,4,20,5,3,5,2,2,0
52,No,Travel_Frequently,1271,Research & Development,22,1,Medical,4,Female,81,1,1,Laboratory Technician,4,Married,11104,6,No,14,3,4,39,4,4,3,3,1,3
51,Yes,Travel_Rarely,522,Sales,9,4,Medical,2,Female,57,1,2,Manager,3,Married,2623,8,Yes,12,3,4,23,1,1,20,20,2,13
33,No,Travel_Frequently,637,Research & Development,30,1,Human Resources,2,Male,80,2,1,Healthcare Representative,2,Married,9881,1,No,24,3,4,10,0,1,15,7,10,14
31,Yes,Travel_Rarely,1015,Sales,11,2,Other,3,Female,61,4,4,Sales Representative,3,Married,12268,5,Yes,12,4,1,9,0,4,2,0,0,2
38,No,Non-Travel,649,Human Resources,16,5,Other,3,Female,51,4,4,Human Resources,3,Divorced,18459,3,No,14,4,3,5,0,1,2,0,0,0
54,No,Travel_Rarely,529,Research & Development,9,4,Marketing,1,Male,53,3,3,Healthcare Representative,3,Divorced,13752,0,No,25,4,4,9,6,4,0,0,0,1
22,Yes,Non-Travel,404,Human Resources,2,5,Marketing,4,Male,81,1,3,Manager,3,Single,13466,7,No,16,4,1,3,6,4,17,8,5,4
47,No,Travel_Frequently,201,Research & Development,28,3,Technical Degree,4,Male,44,2,1,Research Director,1,Married,1827,2,No,11,3,3,36,0,3,12,0,8,1
53,No,Travel_Frequently,163,Research & Development,7,5,Life Sciences,2,Male,40,3,1,Research Director,2,Divorced,10101,7,No,14,3,4,2,4,3,18,3,1,10
48,No,Non-Travel,811,Research & Development,7,2,Human Resources,3,Male,67,2,2,Research Scientist,1,Divorced,17432,3,Yes,24,4,4,33,5,1,14,14,1,0
54,Yes,Travel_Rarely,285,Human Resources,11,2,Other,2,Female,98,3,3,Human Resources,3,Divorced,7675,1,No,20,3,2,15,0,2,13,10,6,3
33,No,Travel_Rarely,953,Human Resources,15,5,Marketing,2,Female,57,2,3,Manager,1,Divorced,12425,4,No,22,4,1,32,2,4,9,6,8,7
48,No,Travel_Rarely,831,Sales,5,2,Medical,4,Female,100,4,5,Sales Executive,2,Divorced,13531,6,No,22,3,4,8,6,2,16,5,4,14
56,No,Non-Travel,655,Research & Development,3,5,Human Resources,4,Male,71,3,3,Research Scientist,1,Single,17436,1,No,11,3,2,27,1,4,16,11,9,10
57,Yes,Non-Travel,224,Research & Development,9,3,Medical,1,Male,67,2,5,Laboratory Technician,1,Married,5874,0,No,20,4,2,8,3,4,10,2,4,8
42,No,Travel_Rarely,1178,Sales,28,3,Other,1,Female,85,3,4,Sales Executive,4,Single,6359,7,Yes,12,3,4,34,4,2,15,3,1,7
40,Yes,Travel_Rarely,609,Human Resources,4,4,Life Sciences,4,Male,79,1,2,Human Resources,3,Married,16813,5,No,17,4,1,36,1,2,7,7,7,1
25,No,Travel_Rarely,1031,Sales,5,4,Other,2,Male,52,3,5,Sales Executive,2,Married,3201,7,No,23,3,4,35,6,3,19,3,5,4
36,Yes,Non-Travel,145,Sales,27,1,Technical Degree,2,Male,82,4,1,Sales Representative,3,Single,2451,8,Yes,12,3,1,29,4,4,15,8,3,8
39,No,Travel_Rarely,932,Research & Development,19,1,Other,3,Female,99,2,2,Research Director,4,Divorced,3484,0,No,11,3,2,27,4,4,9,1,0,9
40,Yes,Travel_Frequently,1294,Human Resources,13,3,Other,4,Female,75,2,4,Manager,3,Divorced,4457,5,No,23,3,4,20,1,1,0,0,0,0
19,No,Non-Travel,240,Human Resources,23,5,Technical Degree,1,Female,54,3,2,Human Resources,4,Single,4887,3,No,19,4,3,20,5,1,12,2,7,12
54,Yes,Travel_Rarely,203,Research & Development,8,1,Other,4,Female,65,1,4,Laboratory Technician,2,Single,2812,5,No,11,3,2,37,4,1,13,8,1,0
22,Yes,Non-Travel,114,Research & Development,29,3,Other,3,Male,38,4,4,Research Scientist,1,Married,7208,4,No,14,4,2,30,1,1,1,0,1,1
20,No,Non-Travel,1400,Human Resources,12,5,Medical,2,Female,45,1,2,Human Resources,3,Married,18698,6,No,22,4,1,2,0,3,2,2,1,2
60,No,Travel_Rarely,1287,Sales,5,4,Medical,1,Female,60,3,1,Sales Representative,4,Divorced,7233,8,No,15,3,1,17,5,3,4,3,0,4
42,No,Travel_Rarely,1071,Research & Development,7,1,Other,4,Female,46,2,2,Laboratory Technician,1,Divorced,4254,5,No,16,3,2,28,3,2,18,17,3,6
57,Yes,Non-Travel,1199,Sales,4,5,Other,3,Female,42,1,5,Sales Executive,2,Married,13938,8,Yes,24,4,1,38,5,1,5,2,5,4
40,No,Travel_Frequently,1359,Human Resources,30,5,Marketing,3,Male,35,1,5,Human Resources,4,Divorced,2115,8,No,17,3,1,35,4,3,2,1,1,0
41,Yes,Non-Travel,763,Sales,11,2,Life Sciences,4,Male,94,3,2,Manager,3,Single,11678,3,Yes,23,4,4,11,3,4,0,0,0,0
54,Yes,Travel_Frequently,1192,Human Resources,2,1,Other,4,Female,59,4,3,Manager,4,Single,16477,6,Yes,19,3,3,15,6,3,15,5,3,5
39,No,Travel_Rarely,142,Research & Development,15,4,Technical Degree,4,Female,72,2,1,Laboratory Technician,4,Divorced,17254,8,No,17,4,3,3,5,3,11,6,3,9
38,Yes,Non-Travel,555,Research & Development,25,1,Human Resources,3,Female,82,4,4,Research Director,4,Married,13587,1,No,18,4,3,9,4,3,8,7,3,7
18,No,Travel_Frequently,731,Sales,14,5,Life Sciences,2,Male,30,3,5,Sales Executive,4,Divorced,19114,8,Yes,25,3,4,28,1,2,19,19,3,7
39,No,Non-Travel,309,Research & Development,11,5,Life Sciences,1,Male,65,2,4,Healthcare Representative,1,Divorced,13879,4,No,22,4,4,37,1,1,4,4,4,3
30,No,Travel_Rarely,193,Human Resources,13,5,Medical,2,Female,60,3,4,Human Resources,4,Divorced,15925,0,Yes,25,4,2,12,0,3,14,2,7,1
18,No,Travel_Rarely,783,Sales,21,2,Medical,4,Female,64,4,1,Sales Executive,3,Married,18276,2,No,21,4,1,33,5,2,3,1,0,3
19,Yes,Travel_Frequently,135,Human Resources,13,2,Life Sciences,1,Male,55,3,3,Manager,3,Single,6293,7,Yes,12,4,3,8,2,4,8,2,4,1
29,No,Non-Travel,1288,Human Resources,23,4,Technical Degree,4,Female,72,4,5,Manager,2,Divorced,13098,9,No,22,3,1,37,2,4,3,2,1,0
44,No,Travel_Rarely,122,Sales,12,5,Marketing,1,Female,86,3,3,Sales Executive,2,Married,2533,6,No,25,3,4,8,0,3,0,0,0,0
27,No,Travel_Frequently,846,Research & Development,15,3,Technical Degree,3,Male,69,4,3,Healthcare Representative,3,Married,8895,0,Yes,18,3,4,15,4,1,7,7,3,1
47,Yes,Travel_Frequently,1195,Sales,14,1,Medical,3,Female,34,1,1,Manager,4,Single,11251,7,No,21,3,4,25,4,1,6,6,6,5
39,No,Travel_Frequently,777,Research & Development,19,1,Marketing,4,Male,37,2,4,Healthcare Representative,3,Married,17426,0,No,14,3,3,10,0,1,1,1,1,0
26,No,Non-Travel,336,Sales,3,2,Life Sciences,3,Female,80,2,2,Sales Executive,4,Single,15355,8,Yes,15,3,4,34,3,3,8,1,1,1
35,No,Non-Travel,771,Human Resources,11,4,Life Sciences,3,Female,35,4,4,Human Resources,2,Divorced,19923,9,Yes,17,4,3,38,6,3,16,8,10,3
60,No,Non-Travel,425,Sales,15,2,Other,4,Female,45,2,5,Manager,3,Single,4975,7,No,21,3,3,28,5,3,15,13,1,15
50,No,Travel_Frequently,636,Research & Development,26,2,Technical Degree,2,Female,96,1,2,Research Scientist,4,Married,6080,2,No,25,3,2,23,3,4,15,4,3,7
41,No,Travel_Rarely,774,Sales,24,5,Medical,3,Female,86,3,1,Sales Executive,2,Divorced,16473,8,No,11,3,1,25,0,3,5,2,4,4
37,No,Travel_Frequently,1284,Research & Development,12,5,Technical Degree,4,Male,62,3,5,Research Director,3,Divorced,4640,2,No,25,4,3,38,2,1,3,3,1,1
55,No,Travel_Rarely,829,Human Resources,19,4,Medical,3,Female,62,3,2,Manager,4,Married,16763,3,No,11,3,2,31,6,3,2,0,1,2
21,No,Non-Travel,141,Research & Development,17,1,Technical Degree,2,Male,44,1,3,Research Director,4,Married,6141,2,Yes,19,4,4,19,3,3,8,3,6,7
25,Yes,Travel_Rarely,128,Human Resources,30,4,Marketing,1,Male,57,1,3,Manager,4,Married,15930,9,No,14,3,4,15,4,1,8,0,8,7
51,No,Non-Travel,1468,Research & Development,22,1,Medical,2,Female,83,3,3,Research Scientist,2,Single,7344,5,No,19,3,2,26,3,3,5,4,2,5
31,No,Travel_Rarely,448,Sales,25,4,Other,2,Female,59,3,2,Sales Executive,2,Single,18349,5,No,11,4,3,4,4,2,8,5,0,8
49,Yes,Travel_Rarely,1026,Human Resources,16,4,Medical,3,Female,98,2,5,Human Resources,4,Married,4813,9,No,22,4,2,4,4,3,7,0,5,3
34,No,Non-Travel,411,Human Resources,18,4,Technical Degree,2,Male,47,2,3,Manager,3,Married,16177,2,No,25,4,2,1,4,1,18,4,7,16
53,No,Travel_Rarely,153,Research & Development,29,3,Other,3,Male,68,2,2,Research Director,3,Divorced,4621,6,No,20,4,2,32,0,2,0,1,0,1
43,Yes,Travel_Frequently,310,Research & Development,30,3,Technical Degree,1,Male,61,2,2,Research Director,4,Single,19331,0,Yes,12,4,1,7,0,2,11,0,7,8
30,No,Travel_Frequently,600,Human Resources,11,4,Technical Degree,3,Male,31,2,2,Human Resources,4,Single,11151,4,Yes,12,4,3,34,4,3,11,6,3,8
48,No,Travel_Rarely,1064,Sales,23,1,Other,2,Female,53,3,3,Manager,3,Married,11467,2,Yes,24,3,1,35,4,4,12,4,10,5
22,Yes,Travel_Frequently,367,Research & Development,22,5,Marketing,4,Male,37,2,2,Research Scientist,1,Divorced,14336,1,No,17,4,2,5,0,4,15,11,3,8
25,Yes,Travel_Rarely,304,Human Resources,13,3,Medical,2,Male,32,4,3,Human Resources,2,Single,10922,7,No,25,4,3,16,3,3,10,3,5,4
29,Yes,Non-Travel,117,Research & Development,6,2,Other,1,Female,49,2,5,Laboratory Technician,1,Divorced,8869,6,No,18,3,3,34,5,2,14,3,9,13
24,No,Travel_Frequently,1460,Human Resources,10,3,Other,3,Female,79,4,2,Manager,3,Married,7266,1,No,16,4,4,12,4,2,9,7,5,3
45,No,Travel_Rarely,335,Human Resources,16,5,Other,2,Male,91,4,4,Human Resources,2,Single,8900,1,No,12,3,3,12,4,3,13,6,0,3
53,No,Travel_Frequently,941,Human Resources,30,2,Marketing,3,Female,45,1,3,Manager,4,Married,5948,4,No,18,4,1,27,1,3,8,0,6,2
18,No,Non-Travel,538,Human Resources,16,3,Other,3,Male,74,1,2,Human Resources,4,Married,9437,0,No,16,4,4,24,4,4,6,6,5,2
24,No,Travel_Rarely,1148,Sales,9,3,Human Resources,3,Female,64,4,3,Sales Representative,3,Married,7791,0,No,16,4,2,9,6,4,4,3,3,1
42,Yes,Travel_Frequently,306,Sales,22,3,Life Sciences,2,Male,87,1,5,Sales Representative,3,Single,6797,0,No,14,3,1,10,1,2,12,6,4,1
22,Yes,Non-Travel,703,Sales,7,3,Technical Degree,4,Female,92,1,4,Sales Representative,3,Divorced,14198,5,Yes,17,3,4,29,6,3,6,6,1,1
35,No,Non-Travel,652,Research & Development,19,1,Marketing,3,Female,58,3,4,Laboratory Technician,3,Single,13993,6,No,20,3,2,21,1,3,16,2,9,13
36,Yes,Non-Travel,680,Research & Development,5,3,Human Resources,2,Male,76,3,5,Laboratory Technician,1,Divorced,7114,9,No,25,3,3,21,3,2,13,6,10,8
35,No,Travel_Frequently,1477,Research & Development,4,3,Medical,4,Male,76,3,3,Research Scientist,1,Single,6926,1,No,18,3,3,27,4,4,20,18,5,4
21,No,Non-Travel,624,Research & Development,26,1,Other,2,Female,65,4,1,Laboratory Technician,3,Married,1610,3,No,18,4,1,17,6,3,6,3,4,0
26,No,Travel_Frequently,735,Research & Development,6,2,Medical,1,Male,54,1,3,Laboratory Technician,2,Married,7685,2,No,13,4,3,15,6,3,0,0,0,1
19,Yes,Travel_Rarely,740,Research & Development,12,1,Medical,2,Male,81,3,1,Laboratory Technician,1,Single,13462,5,No,14,3,2,17,3,4,8,0,1,3
39,No,Travel_Frequently,1149,Sales,19,4,Marketing,3,Male,87,2,3,Manager,2,Married,6896,8,No,19,4,3,26,6,2,2,0,2,1
43,No,Non-Travel,357,Human Resources,11,1,Medical,1,Female,76,4,2,Manager,4,Divorced,17520,4,No,16,3,2,6,2,1,5,5,5,4
58,No,Travel_Rarely,1265,Sales,7,1,Medical,4,Female,97,4,5,Sales Executive,2,Married,7043,2,No,23,4,1,29,5,4,5,5,4,3
55,No,Non-Travel,760,Sales,13,5,Other,2,Female,48,2,1,Manager,3,Single,8336,3,No,23,4,3,7,2,1,14,9,8,6
23,No,Travel_Rarely,450,Human Resources,12,3,Human Resources,4,Male,49,4,3,Human Resources,2,Divorced,2320,1,No,24,4,3,34,3,1,16,8,2,2
40,No,Non-Travel,938,Research & Development,29,3,Life Sciences,3,Female,77,4,1,Research Scientist,3,Divorced,9763,5,No,25,3,1,21,4,2,17,9,3,11
18,No,Non-Travel,620,Human Resources,1,3,Medical,3,Female,62,2,2,Human Resources,4,Single,14791,4,No,15,4,4,14,6,4,13,6,8,1
52,No,Travel_Rarely,1222,Research & Development,8,1,Technical Degree,1,Male,76,3,1,Research Director,4,Divorced,13117,8,No,24,3,3,1,1,2,6,0,2,0
54,Yes,Travel_Frequently,792,Sales,23,2,Life Sciences,3,Male,62,3,4,Sales Representative,4,Married,5597,7,No,25,3,2,6,6,3,20,5,7,2
46,No,Travel_Frequently,520,Research & Development,11,4,Other,3,Female,36,3,2,Laboratory Technician,4,Divorced,4007,9,No,22,3,2,27,3,3,4,1,3,0
33,No,Non-Travel,1309,Sales,16,4,Medical,3,Female,58,2,5,Sales Representative,2,Single,15562,9,No,12,3,3,30,2,2,5,0,1,0
43,Yes,Non-Travel,404,Research & Development,9,1,Human Resources,2,Female,98,1,5,Healthcare Representative,1,Single,12728,5,Yes,19,3,3,15,2,3,19,6,0,10
28,No,Travel_Frequently,685,Sales,26,4,Medical,2,Female,70,2,4,Sales Executive,4,Single,16296,8,Yes,13,3,1,12,6,4,19,19,1,0
53,Yes,Travel_Frequently,321,Human Resources,25,5,Other,1,Male,74,1,3,Manager,1,Single,11577,2,Yes,17,3,3,40,3,3,20,8,8,17
58,No,Travel_Frequently,532,Research & Development,29,3,Other,4,Male,48,2,1,Research Director,2,Divorced,12202,3,Yes,24,4,3,15,0,3,15,15,4,3
30,No,Non-Travel,1184,Sales,10,3,Marketing,3,Female,52,2,5,Manager,4,Married,10199,7,No,19,3,2,31,6,2,18,15,8,5
31,No,Non-Travel,552,Sales,8,2,Technical Degree,2,Male,66,1,3,Sales Executive,4,Single,7075,1,No,15,3,4,10,5,3,11,5,7,3
56,No,Non-Travel,665,Human Resources,29,1,Medical,3,Female,42,2,5,Human Resources,3,Married,13350,8,Yes,16,4,4,30,2,1,10,3,1,9
18,No,Non-Travel,848,Human Resources,14,1,Marketing,4,Female,100,2,3,Manager,2,Single,12229,3,No,24,4,2,27,2,1,10,5,2,6
47,Yes,Travel_Rarely,142,Sales,4,2,Other,3,Female,66,2,3,Sales Representative,3,Married,18709,7,No,19,3,4,20,5,2,15,14,5,3
36,Yes,Travel_Rarely,742,Human Resources,17,3,Medical,4,Male,30,2,3,Human Resources,3,Married,13769,4,No,23,3,1,31,5,1,11,7,1,2
54,No,Non-Travel,818,Sales,12,5,Marketing,4,Male,69,3,2,Manager,2,Divorced,3039,2,No,13,4,1,21,5,3,16,16,5,0
24,Yes,Travel_Rarely,647,Sales,18,5,Technical Degree,2,Male,78,3,3,Sales Representative,3,Single,11979,5,No,11,3,4,4,1,3,14,4,7,4
33,No,Travel_Rarely,1459,Sales,9,4,Other,2,Female,38,4,3,Manager,1,Divorced,11026,6,No,14,4,1,15,6,4,11,4,5,4
60,Yes,Travel_Frequently,623,Human Resources,27,3,Medical,1,Female,54,1,4,Manager,1,Divorced,17980,5,Yes,18,3,4,38,3,3,0,1,0,0
38,No,Non-Travel,1472,Sales,14,3,Life Sciences,3,Female,69,4,1,Sales Executive,2,Single,6252,8,No,18,4,1,21,3,1,7,5,4,7
58,No,Travel_Rarely,211,Human Resources,28,3,Human Resources,1,Male,38,2,5,Human Resources,2,Single,1609,8,No,21,3,2,28,4,3,19,6,5,19
