ApplicantID,Age,AnnualIncome,LoanAmount,CreditScore,EmploymentStatus,EmploymentMonths,ExistingDebt,LoanPurpose,NumberOfDependents,SavingsBalance,MonthlyExpenses,LoanApproved
APP0109,45,70604,352964,813,Self-Employed,126,2426,Education,4,77356,3519,0
APP0110,27,134581,448044,705,Employed,134,59666,Business,0,94692,1980,0
APP0111,47,134154,348293,559,Employed,120,51218,Personal,2,81691,4056,0
APP0112,62,30527,451570,648,Part-Time,81,10269,Medical,3,70912,1094,0
APP0113,60,28968,128087,803,Unemployed,0,3727,Medical,0,56881,1606,0
APP0114,61,112260,462482,531,Part-Time,42,45482,Personal,0,6028,3457,0
APP0115,24,58452,192938,671,Part-Time,37,8001,Vehicle,3,74177,2275,0
APP0116,31,42946,46402,792,Part-Time,158,7891,Business,4,18758,2702,0
APP0117,50,103611,138157,715,Unemployed,0,43702,Home,3,37700,2094,0
APP0118,25,77898,186175,780,Unemployed,0,27807,Medical,2,59878,3274,0
APP0119,33,70422,452393,727,Employed,60,24993,Vehicle,2,75341,3223,0
APP0120,65,58696,16502,817,Part-Time,70,265,Vehicle,0,79482,4869,1
APP0121,39,121677,423832,597,Unemployed,0,14352,Medical,1,81381,2853,0
APP0122,64,119035,382974,817,Self-Employed,160,6367,Medical,0,40492,4411,0
APP0123,23,95965,196292,547,Employed,232,19340,Personal,3,23021,2444,0
APP0124,29,123089,287805,667,Unemployed,0,54425,Education,2,63156,3217,0
APP0125,42,125412,65382,719,Employed,36,49424,Education,3,73048,3796,0
APP0126,26,123636,211870,487,Unemployed,0,35164,Home,3,48311,2947,0
APP0127,58,69941,436183,806,Unemployed,0,7100,Medical,1,61797,1005,0
APP0128,60,135898,499492,767,Unemployed,0,59982,Vehicle,1,84889,1317,0
APP0129,61,127984,248409,634,Part-Time,29,9160,Home,0,39893,4835,0
APP0130,28,32739,128102,755,Self-Employed,99,7432,Personal,4,54935,2065,0
APP0131,47,105841,56915,730,Part-Time,240,18333,Home,2,28477,4432,0
APP0132,49,144591,128791,665,Employed,175,24073,Vehicle,2,7936,4061,0
APP0133,38,44878,69046,712,Employed,169,6950,Medical,4,2799,1214,0
APP0134,42,51925,71020,769,Self-Employed,17,25072,Vehicle,1,76858,2569,0
APP0135,35,63064,410992,555,Employed,70,28128,Education,1,70807,2853,0
APP0136,32,34408,351584,493,Self-Employed,3,11738,Education,4,42437,929,0
APP0137,32,54782,32472,544,Part-Time,134,3724,Medical,0,62422,4472,0
APP0138,44,87271,316251,535,Part-Time,128,14519,Vehicle,0,95321,3270,0
APP0139,50,104323,21331,511,Part-Time,216,26320,Business,0,64260,4433,0
APP0140,25,137868,47357,644,Self-Employed,16,8270,Personal,4,82978,3463,0
APP0141,45,98301,283164,630,Part-Time,129,39677,Business,0,91983,1737,0
APP0142,62,105316,465170,762,Self-Employed,110,29593,Education,3,44424,4515,0
APP0143,46,74524,387527,528,Unemployed,0,27968,Personal,2,49060,2050,0
APP0144,64,140977,253652,514,Employed,212,5594,Home,3,12656,3852,0
APP0145,29,92924,36447,780,Unemployed,0,43909,Home,3,46346,4264,0
APP0146,24,146929,155800,787,Unemployed,0,23045,Home,4,66507,2542,0
APP0147,30,106079,257806,594,Employed,89,36455,Personal,0,99956,3082,0
APP0148,57,49643,428216,699,Employed,155,21555,Medical,2,3794,2277,0
APP0149,38,112104,404722,638,Unemployed,0,23004,Home,1,18776,4083,0
APP0150,25,38595,393481,804,Employed,23,17382,Education,3,55028,4516,0
APP0151,42,40631,199014,639,Unemployed,0,18598,Vehicle,0,6895,2074,0
APP0152,31,118885,328925,505,Employed,69,29039,Medical,3,63656,4421,0
APP0153,47,55804,118020,742,Employed,88,14087,Home,2,88895,4786,0
APP0154,54,107442,166700,503,Self-Employed,101,39277,Home,0,26794,3269,0
APP0155,34,120578,76950,610,Unemployed,0,21503,Home,0,65193,4327,0
APP0156,32,36932,204338,752,Self-Employed,128,18308,Medical,2,9447,4052,0
APP0157,23,77176,14825,715,Employed,220,20516,Vehicle,3,75156,4113,0
APP0158,61,74747,156789,538,Part-Time,5,21284,Education,4,60305,3764,0
APP0159,26,77240,447753,534,Self-Employed,111,38592,Business,4,10308,4042,0
APP0160,40,117754,183002,593,Unemployed,0,51060,Education,0,66910,1734,0
APP0161,54,86840,106661,658,Unemployed,0,42299,Education,1,13474,1999,0
APP0162,37,45856,95963,788,Self-Employed,194,21479,Home,1,82306,4847,0
APP0163,50,118886,300559,776,Part-Time,174,57805,Vehicle,4,42363,3389,0
APP0164,30,77640,40801,720,Part-Time,161,19845,Personal,4,7362,3683,0
APP0165,53,29724,167743,716,Part-Time,9,932,Personal,2,10057,1539,0
APP0166,60,97867,270849,676,Part-Time,148,36327,Medical,0,58947,2342,0
APP0167,41,99299,254366,736,Self-Employed,15,29525,Home,2,93626,1490,0
APP0168,53,104689,95470,500,Self-Employed,181,28688,Business,4,68517,2100,0
APP0169,44,68870,486263,624,Part-Time,104,22175,Medical,4,6863,3541,0
APP0170,25,63213,54548,765,Part-Time,72,8257,Medical,4,19709,3530,0
APP0171,26,96380,352923,552,Unemployed,0,20331,Medical,3,16901,1494,0
APP0172,40,93259,202488,809,Unemployed,0,8375,Medical,4,12249,4268,0
APP0173,53,67425,14558,665,Unemployed,0,11813,Education,2,63736,2372,0
APP0174,35,38030,86235,519,Unemployed,0,3314,Vehicle,4,96815,1109,0
APP0175,63,64140,464482,796,Self-Employed,152,12344,Education,1,23703,2156,0
APP0176,49,25726,220408,666,Self-Employed,113,10003,Personal,3,30671,2759,0
APP0177,40,146562,428951,720,Self-Employed,94,44453,Vehicle,3,60513,3108,0
APP0178,45,85916,281540,694,Self-Employed,209,13087,Vehicle,1,32768,1227,0
APP0179,62,82991,463289,670,Employed,182,33810,Home,2,10993,2113,0
APP0180,38,78893,479641,742,Self-Employed,212,28670,Home,1,59130,3663,0
APP0181,22,74381,32921,682,Unemployed,0,15451,Business,0,49140,2639,0
APP0182,22,61770,493020,530,Unemployed,0,25931,Education,1,5020,3150,0
APP0183,51,111235,440741,551,Part-Time,114,40327,Home,0,2490,2896,0
APP0184,34,129440,83391,760,Part-Time,28,50867,Personal,1,39472,1798,0
APP0185,24,51252,225109,807,Part-Time,16,3632,Business,4,70261,934,0
APP0186,61,87551,306490,603,Self-Employed,74,28130,Home,4,46244,2770,0
APP0187,57,74600,103206,820,Employed,134,23632,Home,4,71313,4956,0
APP0188,53,92633,15661,679,Part-Time,11,41659,Business,2,33246,933,0
APP0189,43,123352,40420,656,Self-Employed,187,43063,Medical,0,76271,3523,0
APP0190,29,25811,189706,759,Unemployed,0,10531,Education,3,91146,4720,0
APP0191,61,43891,430458,549,Employed,183,14997,Home,2,26422,1158,0
APP0192,33,136102,26970,641,Unemployed,0,33776,Business,4,62049,2875,0
APP0193,23,118735,344162,577,Unemployed,0,23394,Home,2,35811,1819,0
APP0194,44,77272,471347,684,Part-Time,229,25339,Personal,1,65038,4875,0
APP0195,44,141151,423010,745,Unemployed,0,52504,Home,3,10345,4327,0
APP0196,59,127785,99611,759,Unemployed,0,21050,Home,0,42981,3221,0
APP0197,40,78447,320947,698,Self-Employed,176,29091,Personal,3,5551,3688,0
APP0198,60,77008,148946,807,Employed,19,26621,Personal,4,98290,2110,0
APP0199,22,38714,449947,791,Part-Time,8,4136,Home,1,84562,3800,0
APP0200,44,70181,302399,496,Self-Employed,173,29486,Personal,2,58188,1429,0
APP0201,57,38047,282589,667,Part-Time,80,9132,Education,0,3396,2324,0
APP0202,52,87861,207892,767,Employed,67,17058,Medical,3,28124,3139,0
APP0203,65,140124,262530,582,Employed,34,55890,Home,3,22630,4446,0
APP0204,26,126235,362527,643,Unemployed,0,46500,Home,4,71063,3178,0
APP0205,40,131589,87578,806,Self-Employed,203,23690,Vehicle,1,15907,2446,0
APP0206,29,51029,419383,732,Employed,92,18154,Vehicle,2,61263,1863,0
APP0207,60,135899,50201,513,Unemployed,0,26093,Medical,3,68903,4165,0
APP0208,47,127916,306413,517,Self-Employed,81,42096,Home,3,61057,3622,0
APP0209,29,135075,439662,762,Self-Employed,196,8456,Business,4,7263,1817,0
APP0210,54,40056,164448,564,Self-Employed,82,7388,Personal,4,37230,1446,0
APP0211,37,45729,337952,762,Unemployed,0,4101,Medical,2,80534,1565,0
APP0212,53,104015,93413,783,Self-Employed,43,43170,Vehicle,4,44252,1137,0
APP0213,22,30646,28835,808,Unemployed,0,10668,Education,4,54602,1048,0
APP0214,52,136522,333814,759,Unemployed,0,42068,Personal,3,32096,4126,0
APP0215,40,79446,43258,510,Self-Employed,112,27238,Business,3,26741,3586,0
APP0216,59,38830,168883,643,Unemployed,0,13065,Education,2,67499,1669,0
APP0217,41,51685,249565,542,Unemployed,0,14732,Education,1,12689,1214,0
APP0218,39,143913,206405,795,Part-Time,63,56708,Education,2,75718,3361,0
APP0219,33,120023,88541,735,Part-Time,127,57611,Personal,3,3037,1537,0
APP0220,46,86249,244720,603,Self-Employed,149,23127,Home,0,36877,4854,0
APP0221,59,135649,446895,814,Part-Time,73,35172,Home,0,56482,1897,0
APP0222,37,115355,196772,686,Unemployed,0,2965,Business,0,74747,2394,0
APP0223,44,92512,156310,517,Part-Time,129,29514,Vehicle,2,81689,1773,0
APP0224,29,147806,55688,681,Unemployed,0,52094,Personal,4,47920,1981,0
APP0225,33,98966,271926,685,Employed,11,2550,Education,2,62094,4543,0
APP0226,53,38321,176948,793,Unemployed,0,5324,Business,4,96904,3251,0
APP0227,58,64089,270979,740,Part-Time,181,18445,Personal,3,2180,3817,0
APP0228,42,108317,62464,693,Unemployed,0,52216,Medical,0,78238,4687,0
APP0229,37,146755,348718,776,Self-Employed,184,3365,Vehicle,3,22349,3914,0
APP0230,64,51745,21552,773,Employed,48,620,Business,2,54890,2040,1
APP0231,47,110505,111897,690,Part-Time,223,48223,Medical,0,92507,1931,0
APP0232,54,47176,299066,646,Part-Time,134,12347,Personal,1,60249,3604,0
APP0233,55,66437,359349,809,Unemployed,0,31731,Education,1,36569,3245,0
APP0234,35,143402,161035,627,Self-Employed,176,46202,Business,2,62888,3657,0
APP0235,56,142381,494939,620,Unemployed,0,7987,Vehicle,4,49767,4032,0
APP0236,43,145122,410308,554,Unemployed,0,2756,Personal,0,45398,4423,0
APP0237,62,53612,396820,725,Self-Employed,51,17648,Personal,4,91248,3025,0
APP0238,29,34316,327792,780,Self-Employed,62,1663,Medical,4,29579,2707,0
APP0239,24,33133,221688,649,Part-Time,25,4504,Home,4,20701,4133,0
APP0240,62,142556,466712,723,Part-Time,166,13071,Personal,2,37409,1284,0
APP0241,26,105498,306011,598,Employed,233,11473,Business,1,4763,4052,0
APP0242,52,44420,496052,628,Employed,2,9777,Vehicle,4,14064,3544,0
APP0243,39,79552,341232,758,Part-Time,227,8794,Vehicle,3,35761,2379,0
APP0244,28,63343,90193,714,Unemployed,0,23547,Education,0,96549,3561,0
APP0245,39,94420,358580,578,Self-Employed,156,41859,Business,3,67538,3486,0
APP0246,26,72538,355882,528,Self-Employed,35,31290,Personal,1,895,2936,0
APP0247,45,50870,239218,616,Unemployed,0,9894,Vehicle,4,1498,2942,0
APP0248,62,67127,368210,600,Employed,170,7747,Business,2,20934,4121,0
APP0249,64,85866,488973,639,Employed,163,19335,Personal,4,28947,2595,0
APP0250,29,82676,85313,712,Unemployed,0,27252,Medical,4,61712,2589,0
APP0251,36,109173,400700,785,Employed,134,29278,Vehicle,2,10237,1719,0
APP0252,24,128629,292125,738,Self-Employed,146,35170,Education,1,43007,4419,0
APP0253,28,109167,112689,778,Part-Time,23,33447,Business,0,59432,1880,0
APP0254,53,74450,244493,768,Employed,143,30302,Medical,2,94801,978,0
APP0255,46,53352,433056,481,Self-Employed,148,2393,Home,3,45158,1322,0
APP0256,55,27897,494990,515,Part-Time,8,4703,Business,1,17750,4243,0
APP0257,44,136828,205529,709,Part-Time,96,5259,Medical,4,17431,3648,0
APP0258,28,43392,286678,681,Self-Employed,186,7297,Home,0,39107,4592,0
APP0259,64,114253,290446,697,Part-Time,210,15051,Education,3,45371,2070,0
APP0260,38,44704,496473,537,Employed,207,21633,Business,4,2050,2771,0
APP0261,34,28819,57898,784,Employed,114,9794,Medical,0,32077,1162,0
APP0262,46,77535,127861,756,Self-Employed,193,3699,Education,4,37914,2718,0
APP0263,57,61799,307763,786,Unemployed,0,7762,Personal,1,86535,2610,0
APP0264,47,59387,149259,511,Self-Employed,160,22241,Business,4,64962,1184,0
APP0265,43,143415,342282,675,Unemployed,0,45633,Business,3,19558,3256,0
APP0266,45,44101,400531,755,Part-Time,61,7384,Personal,1,60689,1272,0
APP0267,56,74090,223370,765,Self-Employed,99,15915,Personal,1,43288,1447,0
APP0268,49,131035,199551,527,Self-Employed,13,17593,Business,4,79026,1123,0
APP0269,25,44662,426868,780,Self-Employed,122,6844,Personal,2,2009,2535,0
APP0270,33,146101,393746,540,Part-Time,234,15898,Medical,4,92244,2475,0
APP0271,46,139947,130478,762,Unemployed,0,50824,Personal,3,61112,3743,0
APP0272,40,54283,193557,742,Part-Time,119,3231,Medical,3,99828,3423,0
APP0273,34,68589,169061,691,Employed,144,14501,Medical,1,2125,2936,0
APP0274,56,142520,311200,776,Part-Time,75,9988,Education,2,30149,3911,0
APP0275,57,129230,133833,735,Unemployed,0,16864,Business,3,60401,2178,0
APP0276,43,42185,78378,759,Part-Time,47,17764,Medical,0,68674,1077,0
APP0277,25,143887,433865,504,Employed,105,9010,Medical,1,8908,2037,0
APP0278,21,48668,270149,713,Unemployed,0,1980,Vehicle,4,63334,4796,0
APP0279,22,20866,284032,762,Part-Time,3,274,Vehicle,2,70220,3148,0
APP0280,22,85826,431328,700,Self-Employed,27,6312,Vehicle,1,31584,2372,0
APP0281,60,89003,137339,661,Unemployed,0,26011,Home,2,53218,4560,0
APP0282,57,51877,370552,595,Unemployed,0,22414,Home,0,12255,4120,0
APP0283,45,69436,294774,723,Employed,163,619,Medical,1,10837,4894,1
APP0284,62,122809,178681,769,Employed,229,34613,Home,1,27710,4695,0
APP0285,38,26102,489525,518,Unemployed,0,8897,Vehicle,0,23508,3376,0
APP0286,22,146021,113610,780,Self-Employed,192,53784,Medical,3,10084,3251,0
APP0287,31,93919,131076,770,Part-Time,173,35426,Personal,3,99039,1946,0
APP0288,65,114917,46118,736,Unemployed,0,3519,Home,3,30427,1422,0
APP0289,42,99320,408180,794,Part-Time,198,21389,Home,2,59054,4819,0
APP0290,35,66636,294951,672,Part-Time,47,24908,Home,4,38715,2818,0
APP0291,25,30752,145494,558,Part-Time,182,12843,Medical,1,96948,3991,0
APP0292,41,67277,60863,526,Employed,78,29146,Personal,2,13399,1885,0
APP0293,26,44561,230957,709,Part-Time,26,860,Home,2,72642,1562,0
APP0294,59,98386,416271,646,Part-Time,3,19126,Business,3,11101,2788,0
APP0295,57,88302,93910,674,Self-Employed,35,17623,Personal,2,64634,1995,0
APP0296,25,41916,232895,621,Part-Time,76,15867,Home,2,32990,2820,0
APP0297,61,84985,316325,795,Self-Employed,117,7010,Education,2,887,4041,0
APP0298,42,130311,330159,674,Unemployed,0,28850,Personal,3,85332,1915,0
APP0299,40,62030,321256,582,Part-Time,80,5820,Business,2,38200,4822,0
APP0300,57,122494,132100,646,Part-Time,71,53509,Business,2,14927,2436,0
APP0301,58,91516,99333,761,Employed,186,30252,Medical,1,57469,3186,0
APP0302,65,29064,434373,689,Part-Time,35,10376,Personal,1,33119,2062,0
APP0303,48,123425,202651,517,Part-Time,153,31407,Vehicle,3,70040,4950,0
APP0304,65,74827,290026,498,Unemployed,0,35186,Vehicle,0,14335,2833,0
APP0305,63,107122,191126,565,Employed,144,42272,Medical,3,98655,3516,0
APP0306,48,33886,10530,530,Unemployed,0,7274,Vehicle,4,73137,2610,0
APP0307,49,69036,210066,717,Self-Employed,88,1609,Business,0,38722,4207,1
APP0308,26,35213,440849,552,Unemployed,0,10220,Personal,3,27114,4756,0
APP0309,43,82411,56182,704,Part-Time,81,4402,Personal,0,93163,1742,0
APP0310,22,131303,184871,811,Employed,173,52432,Education,1,67632,2229,0
APP0311,56,40989,178533,766,Part-Time,118,7597,Business,1,24430,4340,0
APP0312,46,23826,391603,794,Self-Employed,115,9702,Business,3,583,2559,0
APP0313,34,56483,399435,512,Employed,204,17592,Education,2,42727,2414,0
APP0314,50,34936,142548,730,Unemployed,0,12734,Vehicle,3,76939,1735,0
APP0315,43,66135,448294,714,Self-Employed,208,19493,Vehicle,4,11108,1897,0
APP0316,41,35448,130080,636,Employed,46,12232,Medical,1,66954,3982,0
APP0317,47,98174,77282,774,Part-Time,108,12173,Business,4,90889,2219,0
APP0318,56,41871,261713,627,Self-Employed,47,10308,Business,4,7026,3741,0
APP0319,21,83518,76583,579,Part-Time,143,33124,Medical,3,53626,4828,0
APP0320,47,113079,445345,707,Part-Time,42,5417,Vehicle,0,99753,2606,0
APP0321,39,24285,149102,595,Unemployed,0,2755,Business,4,97323,4857,0
APP0322,56,86952,64355,773,Employed,68,35593,Personal,4,99193,1140,0
APP0323,49,91611,119578,697,Employed,188,42839,Education,2,4224,4484,0
APP0324,37,65688,457040,524,Part-Time,221,7693,Education,1,96680,3672,0
APP0325,60,102938,229482,564,Self-Employed,200,13541,Education,0,74720,3673,0
APP0326,55,56842,317925,755,Self-Employed,82,23070,Personal,2,75069,2990,0
APP0327,53,149169,476940,528,Self-Employed,192,51491,Business,0,36349,1839,0
APP0328,65,133518,74568,607,Self-Employed,182,21108,Education,3,64154,1964,0
APP0329,57,102890,145885,801,Part-Time,96,29621,Home,0,52802,3079,0
APP0330,65,142727,464966,668,Part-Time,124,21449,Vehicle,0,96039,1563,0
APP0331,50,103209,353202,663,Employed,203,35024,Business,1,56314,2535,0
APP0332,52,55197,174274,625,Unemployed,0,17934,Vehicle,1,74205,4775,0
APP0333,42,137198,362853,504,Employed,25,41037,Business,0,16284,2094,0
APP0334,49,79836,5354,699,Self-Employed,176,8645,Medical,2,20837,3044,0
APP0335,26,105798,193971,608,Employed,95,43549,Medical,1,6787,4046,0
APP0336,61,60043,385626,599,Part-Time,167,2988,Medical,0,142,2548,0
APP0337,51,30215,74572,783,Self-Employed,132,11140,Business,0,1056,3614,0
APP0338,28,149519,456066,696,Self-Employed,122,4641,Education,3,11708,1639,0
APP0339,27,61071,197708,633,Self-Employed,97,25344,Education,1,8966,869,0
APP0340,60,105199,91044,705,Unemployed,0,47345,Education,1,53963,4424,0
APP0341,34,31362,475072,531,Self-Employed,192,2017,Vehicle,3,46076,4317,0
APP0342,41,123688,78311,606,Unemployed,0,42245,Home,1,72534,3134,0
APP0343,65,23515,449539,817,Unemployed,0,3366,Vehicle,4,66784,2345,0
APP0344,46,58737,343779,507,Self-Employed,126,12644,Home,1,65481,1381,0
APP0345,54,136486,11326,664,Unemployed,0,8649,Business,4,55163,3793,0
APP0346,55,109514,95581,721,Employed,4,38493,Home,0,34365,2567,0
APP0347,23,140924,36703,683,Unemployed,0,41194,Medical,4,54451,4269,0
APP0348,65,72727,48215,807,Self-Employed,71,5478,Personal,0,67017,2464,0
